"Countries","Adult_Literacy","Internet_Users","GDP_Per_Capita","Immunization_DPT_Children","Prevalence_HIV","Population_Growth_Annual","Infant_Mortality_Rate","School_Enrollment","High_Tech_EXP","Unemployment_Female","Urban_Population_Total"
"East Asia & Pacific (excluding high income)","95.12328","42.0464015786606","6303.61498827963","91.9398865611446",NA,"0.729857359221924","15.6541049882271","102.36109","25.6158611060874","3.59857316927568","48.3085958277644"
"Early-demographic dividend","77.6761","25.5160900112785","3430.19455275031","83.311893928412","0.775520002227743","1.43176462811196","33.7844247579001","105.84249","8.4571392349323","6.15652582878881","56.3938818778266"
"East Asia & Pacific","95.51643","46.8366418501962","9663.42318681738","92.1903087252372",NA,"0.685266992402077","14.8","102.20806","24.1684826775804","3.61476187857556","44.4426489439137"
"Europe & Central Asia (excluding high income)","98.82647","56.8437708841667","9851.28311742169","90.6056361844168","0.59573805624539","0.591417381320667","13.5499235635803","101.11406","10.1559482510677","7.09163768922225","33.7526704762792"
"Europe & Central Asia","99.00192","68.9972078865969","26197.3138320991","93.1821561258745","0.428567834087343","0.471887812284663","9","102.209","15.6226838161722","8.88338847250284","28.5648828818266"
"Ecuador","94.22264","45.5903906666095","6396.63048339218","83","0.3","1.53063409440029","13.4","113.30777","4.90210087238667","4.14400005340576","36.739"
"Egypt, Arab Rep.",NA,"33.8946039115275","3327.75424726108","94","0.1","2.20814280790223","20.9","101.12775","1.310143372848","25.5240001678467","57.161"
"Euro area","98.8867","77.1195896541016","39823.5057751243","96.5492253129601","0.274530107320188","0.338173340608677","3.22859010050705","102.06621","15.5342344093278","11.7591156597756","23.8718620168773"
"Eritrea",NA,"0.99",NA,"94","0.6",NA,"34.7","55.70903",NA,"7.10400009155273",NA
"Spain","98.09372","76.19","29623.1644451343","97","0.4","-0.298951059088036","2.8","104.19871","6.99704084819899","25.4300003051758","20.634"
"Estonia",NA,"84.2415280294352","19949.5813766971","93","0.6","-0.262256175097854","2.6","97.8086","11.4398894043637","6.80800008773804","31.731"
"Ethiopia",NA,"7.7","571.162275886001","61","1.1","2.57906830567915","46.1","99.9231999999999","8.09642964088818","7.21700000762939","81.002"
"European Union","99.08536","77.3122650934853","36670.8222950305","96.2275531249927","0.249966393834235","0.310441465812588","3.64721255508479","102.64997","15.5800664509833","10.3050283420792","25.1826841211596"
"Fragile and conflict affected situations","61.32968","12.4053529861848","1806.31888394979","72.6919915621046","2.6703563852514","2.38288549687987","56.455012487889","97.74467",NA,"9.01053446981198","60.1440849901438"
"Finland",NA,"86.5303927529377","49914.6186421589","98",NA,"0.413560207519414","2.1","100.61554","7.86140087174612","7.94600009918213","14.825"
"Fiji",NA,"37.4","5061.39757456886","99",NA,"0.689997362346706","20.6",NA,"2.07843118247295","8.51099967956543","45.784"
"France",NA,"83.75","43008.6525700318","98","0.5","0.479814388342675","3.4","102.10138","26.0927856598234","10.0290002822876","20.606"
"Faroe Islands",NA,"93.3","57543.6690591516",NA,NA,"0.194694135627489",NA,NA,NA,NA,"58.499"
"Micronesia, Fed. Sts.",NA,"29.65","3057.24558957843","77",NA,"0.301371805775894","29","97.62538",NA,NA,"77.601"
"Gabon",NA,"38.07120929","9692.18212474344","70","4.2","3.1652928567747","38.5",NA,NA,"28.7950000762939","12.349"
"United Kingdom",NA,"91.61","46783.4692171284","95",NA,"0.753349499398544","3.8","107.55789","20.647166584182","5.82000017166138","17.635"
"Georgia","99.58619","44","4429.6500748497","91","0.4","-1.30616277861329","11.5","105.07653","3.0194983350171","10.4259996414185","42.933"
"Ghana",NA,"25.51773743","1987.98336285419","98","1.8","2.31233604659415","40.7","105.3654",NA,"2.34200000762939","46.581"
"Gibraltar",NA,NA,NA,NA,NA,"0.610000565422472",NA,NA,NA,NA,"0"
"Guinea","32.00386","6.4","743.591287839295","34","1.6","2.3040396436434","61.6","93.9271","4.86238389162614","3.47399997711182","65.164"
"Gambia, The",NA,"15.56","656.496762958177","96","1.9","3.0992828967515","44.2","88.24853","0","12.6829996109009","41.472"
"Guinea-Bissau","45.58116","3.32","610.468490212169","87","3.7","2.5974983187932","61.4",NA,NA,"6.7519998550415","58.285"
"Equatorial Guinea","95","18.86","19245.651511712","24","6.4","4.12842100344897","71.5",NA,NA,"6.02799987792969","29.917"
"Greece",NA,"63.21","21760.9797994918","99","0.2","-0.666113290031891","3.6","93.95465","10.3159710085386","30.2240009307861","22.298"
"Grenada","98.5999999999999","51.6","8569.92673380413","97",NA,"0.424933154285576","14.4","103.11044",NA,NA,"64.062"
"Greenland",NA,"66.7","50408.3345548258",NA,NA,"-0.333398666658893",NA,NA,"4.36130539195064",NA,"14.187"
"Guatemala","81.2859","23.4","3687.76376676599","73","0.5","2.07715182146065","25.5","102.57987","4.96363015145795","3.67199993133545","50.366"
"Guam",NA,"69.27","34404.5673958016",NA,NA,"0.368455209555819",NA,NA,NA,"8.20600032806396","5.551"
"Guyana","85.63973","32","4031.53193884817","98","1.7","0.698273067269946","28.3",NA,"0.216736803707852","15.1960000991821","73.586"
